Slice,Count,Total Area,Average Size,%Area,Mean
20110395_A01_2_586_1075.png (green),9,1200,133.333,3.124,255
20110395_A01_2_598_1239.png (green),30,2969,98.967,7.729,255
20110395_A01_2_610_633.png (green),46,6230,135.435,16.217,255
20110395_A01_2_620_367.png (green),8,2502,312.750,6.513,255
20110395_A01_2_670_1193.png (green),21,3467,165.095,9.025,255
20110395_A01_2_671_490.png (green),13,2500,192.308,6.508,255
20110395_A01_2_673_862.png (green),4,1081,270.250,2.814,255
20110395_A01_2_675_1017.png (green),10,780,78.000,2.030,255
20110395_A01_2_687_663.png (green),41,4346,106.000,11.313,255
20110395_A01_2_691_756.png (green),19,1543,81.211,4.017,255
20110395_A01_2_712_600.png (green),35,2653,75.800,6.906,255
20110395_A01_2_791_586.png (green),21,2974,141.619,7.742,255
